# Arquivo de Dados dos Alunos para Classificação
# Formato: Matricula, Nome, CR, Periodo, Curso

101,Ana Silva,8.5,3,Sistemas de Informacao
102,Bruno Costa,9.2,3,Sistemas de Informacao
103,Carlos Dias,7.8,2,Engenharia de Software
104,Daniela Rocha,9.5,4,Sistemas de Informacao
105,Eduardo Lima,8.9,3,Ciencia da Computacao
106,Fernanda Alves,9.1,5,Sistemas de Informacao
107,Gabriel Santos,7.0,3,Sistemas de Informacao
108,Heloisa Matos,9.8,6,Engenharia de Software
109,Igor Pereira,8.2,1,Sistemas de Informacao
110,Julia Andrade,8.8,4,Ciencia da Computacao
